reference_store_id,candidate_store_id,period_month,comparison_question_type,reference_region_type,candidate_region_type,region_type_comparison_note,reference_store_type,candidate_store_type,store_type_comparison_note,search_entry_share_gap_pct,activity_order_share_gap_pct,activity_cost_ratio_gap_pct,refund_pressure_gap_pct,invalid_order_pressure_gap_pct,top3_sku_concentration_gap_pct,pairwise_comparison_decision,pairwise_limit_notes
B,C,2026-03,activity_transfer,Qingdao,Qingdao,region_type_value_matches_but_not_market_classification,self-operated,self-operated,store_type_matches,19.9,17.77,14.67,3.26,1.19,17.23,not_comparable_for_strategy_transfer,region_type_value_matches_but_not_market_classification; store_type_matches; activity_strategy_transfer_requires_activity_cost_refund_invalid_order_and_competition_context; large_search_entry_share_gap; large_activity_order_share_gap; large_activity_cost_ratio_gap; large_top3_sku_concentration_gap_but_not_full_category_share; do_not_rank_stores_or_transfer_strategy_directly
B,C,2026-03,order_quality_pressure,Qingdao,Qingdao,region_type_value_matches_but_not_market_classification,self-operated,self-operated,store_type_matches,19.9,17.77,14.67,3.26,1.19,17.23,comparable_with_limits,region_type_value_matches_but_not_market_classification; store_type_matches; compare_refund_and_invalid_order_pressure_only; large_search_entry_share_gap; large_activity_order_share_gap; large_activity_cost_ratio_gap; large_top3_sku_concentration_gap_but_not_full_category_share; do_not_rank_stores_or_transfer_strategy_directly
B,C,2026-03,search_entry_structure,Qingdao,Qingdao,region_type_value_matches_but_not_market_classification,self-operated,self-operated,store_type_matches,19.9,17.77,14.67,3.26,1.19,17.23,partially_comparable,region_type_value_matches_but_not_market_classification; store_type_matches; compare_search_entry_structure_only; large_search_entry_share_gap; large_activity_order_share_gap; large_activity_cost_ratio_gap; large_top3_sku_concentration_gap_but_not_full_category_share; do_not_rank_stores_or_transfer_strategy_directly
B,D,2026-03,activity_transfer,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,self-operated,store_type_matches,1.05,5.21,9.2,1.81,0.45,5.75,comparable_with_limits,region_type_value_differs_and_market_classification_is_unresolved; store_type_matches; activity_strategy_transfer_requires_activity_cost_refund_invalid_order_and_competition_context; do_not_rank_stores_or_transfer_strategy_directly
B,D,2026-03,order_quality_pressure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,self-operated,store_type_matches,1.05,5.21,9.2,1.81,0.45,5.75,comparable_with_limits,region_type_value_differs_and_market_classification_is_unresolved; store_type_matches; compare_refund_and_invalid_order_pressure_only; do_not_rank_stores_or_transfer_strategy_directly
B,D,2026-03,search_entry_structure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,self-operated,store_type_matches,1.05,5.21,9.2,1.81,0.45,5.75,comparable_with_limits,region_type_value_differs_and_market_classification_is_unresolved; store_type_matches; compare_search_entry_structure_only; do_not_rank_stores_or_transfer_strategy_directly
B,E,2026-03,activity_transfer,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,1.69,19.64,5.26,8.34,6.75,1.4,not_comparable_for_strategy_transfer,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; activity_strategy_transfer_requires_activity_cost_refund_invalid_order_and_competition_context; large_activity_order_share_gap; large_refund_pressure_gap; large_invalid_order_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
B,E,2026-03,order_quality_pressure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,1.69,19.64,5.26,8.34,6.75,1.4,partially_comparable,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; compare_refund_and_invalid_order_pressure_only; large_activity_order_share_gap; large_refund_pressure_gap; large_invalid_order_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
B,E,2026-03,search_entry_structure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,1.69,19.64,5.26,8.34,6.75,1.4,comparable_with_limits,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; compare_search_entry_structure_only; large_activity_order_share_gap; large_refund_pressure_gap; large_invalid_order_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
B,F,2026-03,activity_transfer,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,0.21,7.05,11.96,0.14,3.0,8.18,not_comparable_for_strategy_transfer,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; activity_strategy_transfer_requires_activity_cost_refund_invalid_order_and_competition_context; large_activity_cost_ratio_gap; do_not_rank_stores_or_transfer_strategy_directly
